FlightID,RouteCode,Origin,Destination,FlightDate,FlightDurationMins,AircraftType,SeatsAvailable,SeatsSold,Revenue,OperationalCost,Profit,OccupancyPct,RouteType,YearMonth
1,BLR-HYD,BLR,HYD,13-01-2023,819,Boeing 777,150,85,316680.1,302752.41,13927.69,56.66666667,Domestic,2023-01
2,MAA-CMB,MAA,CMB,14-02-2023,664,Airbus A380,120,55,1280376.33,1092433.95,187942.38,45.83333333,International,2023-02
3,BOM-DEL,BOM,DEL,15-10-2023,263,ATR 72,250,141,487955.63,505355.29,-17399.66,56.4,Domestic,2023-10
4,BOM-DEL,BOM,DEL,23-03-2023,774,Airbus A380,180,107,298269.43,300684.36,-2414.93,59.44444444,Domestic,2023-03
5,BLR-HYD,BLR,HYD,17-02-2023,449,Boeing 737,180,161,561359.8,580601.51,-19241.71,89.44444444,Domestic,2023-02
6,DEL-FRA,DEL,FRA,02-10-2023,187,Airbus A380,120,89,2887255.23,2659485.01,227770.22,74.16666667,International,2023-10
7,DEL-LHR,DEL,LHR,23-10-2023,256,Boeing 737,120,96,3033218.41,3461305.36,-428086.95,80,International,2023-10
8,HYD-BOM,HYD,BOM,21-02-2023,449,Boeing 777,250,196,599112.79,462580.13,136532.66,78.4,Domestic,2023-02
9,CCU-DEL,CCU,DEL,10-12-2023,333,Boeing 737,350,275,924399.24,644201.4,280197.84,78.57142857,Domestic,2023-12
10,DEL-FRA,DEL,FRA,14-07-2023,336,ATR 72,150,121,3949776.24,4011392.54,-61616.3,80.66666667,International,2023-07
11,HYD-BOM,HYD,BOM,17-01-2023,884,Boeing 777,250,147,408626.06,455922.82,-47296.76,58.8,Domestic,2023-01
12,BOM-DXB,BOM,DXB,19-04-2023,731,Airbus A380,250,229,6788196.17,4315412.12,2472784.05,91.6,International,2023-04
13,DEL-MAA,DEL,MAA,07-05-2023,822,ATR 72,350,206,711164.49,774240.32,-63075.83,58.85714286,Domestic,2023-05
14,BLR-SIN,BLR,SIN,05-07-2023,284,Airbus A320,350,249,7802846.36,8322997.72,-520151.36,71.14285714,International,2023-07
15,DEL-MAA,DEL,MAA,18-11-2023,223,Airbus A380,350,169,521688.59,598727.82,-77039.23,48.28571429,Domestic,2023-11
16,HYD-DXB,HYD,DXB,09-05-2023,626,Boeing 737,120,97,2721291.83,1932376.03,788915.8,80.83333333,International,2023-05
17,BOM-DXB,BOM,DXB,27-02-2023,360,Airbus A380,150,103,3533645.61,3800477.42,-266831.81,68.66666667,International,2023-02
18,MAA-BLR,MAA,BLR,14-09-2023,840,Airbus A320,350,326,1293220.3,942844.08,350376.22,93.14285714,Domestic,2023-09
19,HYD-DXB,HYD,DXB,08-11-2023,263,Airbus A320,180,153,4297874.87,4371694.68,-73819.81,85,International,2023-11
20,HYD-DXB,HYD,DXB,01-01-2023,673,Boeing 777,250,115,3902695.11,4204112.46,-301417.35,46,International,2023-01
21,DEL-AMD,DEL,AMD,03-05-2023,119,Airbus A320,350,333,850540.68,715810.17,134730.51,95.14285714,Domestic,2023-05
22,BOM-CCU,BOM,CCU,30-09-2023,844,Airbus A320,150,119,488414.99,317018.53,171396.46,79.33333333,Domestic,2023-09
23,HYD-DXB,HYD,DXB,07-11-2023,493,Airbus A320,350,297,9013360.3,8812987.75,200372.55,84.85714286,International,2023-11
24,BLR-SIN,BLR,SIN,10-12-2023,725,Boeing 777,250,231,6184399.48,4321308.12,1863091.36,92.4,International,2023-12
25,BOM-CCU,BOM,CCU,23-06-2023,81,ATR 72,350,200,559278.26,331425.98,227852.28,57.14285714,Domestic,2023-06
26,DEL-BLR,DEL,BLR,28-04-2023,129,Boeing 737,180,87,246071.53,234109.17,11962.36,48.33333333,Domestic,2023-04
27,CCU-DEL,CCU,DEL,04-10-2023,195,ATR 72,350,245,934017.17,966239.08,-32221.91,70,Domestic,2023-10
28,CCU-DEL,CCU,DEL,18-02-2023,159,Airbus A380,180,121,392117.97,387195.13,4922.84,67.22222222,Domestic,2023-02
29,BLR-HYD,BLR,HYD,01-02-2023,472,Boeing 777,120,69,189223.95,155006.23,34217.72,57.5,Domestic,2023-02
30,BOM-BKK,BOM,BKK,04-04-2023,345,Airbus A380,150,137,2894915.95,2995697.66,-100781.71,91.33333333,International,2023-04
31,MAA-CMB,MAA,CMB,20-02-2023,111,ATR 72,120,115,3897983.05,4128811.63,-230828.58,95.83333333,International,2023-02
32,BOM-GOI,BOM,GOI,28-07-2023,557,Airbus A380,150,136,547318.01,355090.22,192227.79,90.66666667,Domestic,2023-07
33,BOM-DEL,BOM,DEL,19-07-2023,331,Airbus A380,180,121,498903.78,572369.16,-73465.38,67.22222222,Domestic,2023-07
34,MAA-CMB,MAA,CMB,05-12-2023,795,Airbus A380,150,82,1907772.11,1116218.34,791553.77,54.66666667,International,2023-12
35,MAA-CMB,MAA,CMB,01-02-2023,825,Boeing 777,120,57,1547654.18,1704945.8,-157291.62,47.5,International,2023-02
36,HYD-DXB,HYD,DXB,22-03-2023,118,ATR 72,120,108,2271004.56,1341656.17,929348.39,90,International,2023-03
37,HYD-BOM,HYD,BOM,26-07-2023,182,ATR 72,150,113,279283.45,167343.86,111939.59,75.33333333,Domestic,2023-07
38,BOM-NRT,BOM,NRT,17-10-2023,595,Boeing 777,180,100,3074287.7,2131131.81,943155.89,55.55555556,International,2023-10
39,BLR-SIN,BLR,SIN,09-03-2023,747,Boeing 777,250,154,4816806.98,2858899.55,1957907.43,61.6,International,2023-03
40,DEL-FRA,DEL,FRA,15-11-2023,636,Boeing 737,120,88,2427767.8,1528216.57,899551.23,73.33333333,International,2023-11
41,DEL-LHR,DEL,LHR,05-02-2023,310,Boeing 777,180,96,3120592.73,3033602.95,86989.78,53.33333333,International,2023-02
42,DEL-CDG,DEL,CDG,01-12-2023,601,Boeing 737,350,213,6379526.94,7102697.37,-723170.43,60.85714286,International,2023-12
43,DEL-MAA,DEL,MAA,16-05-2023,178,Boeing 737,350,186,540732,365739.12,174992.88,53.14285714,Domestic,2023-05
44,BOM-DXB,BOM,DXB,15-04-2023,763,Boeing 777,350,248,8327851.75,8808054.24,-480202.49,70.85714286,International,2023-04
45,BOM-CCU,BOM,CCU,21-11-2023,493,Boeing 777,120,54,204552.79,190698.03,13854.76,45,Domestic,2023-11
46,MAA-BLR,MAA,BLR,24-03-2023,819,Airbus A380,350,288,981974.12,606000.12,375974,82.28571429,Domestic,2023-03
47,DEL-MAA,DEL,MAA,07-10-2023,96,Boeing 777,350,259,821966.57,472710.77,349255.8,74,Domestic,2023-10
48,DEL-LHR,DEL,LHR,21-01-2023,426,Airbus A320,150,120,3036621.54,2690234.46,346387.08,80,International,2023-01
49,BOM-BKK,BOM,BKK,14-11-2023,827,Airbus A320,150,136,4711460.31,4883254.44,-171794.13,90.66666667,International,2023-11
50,BOM-BKK,BOM,BKK,13-01-2023,243,Boeing 777,250,218,7185489.37,7447397.51,-261908.14,87.2,International,2023-01
51,MAA-BLR,MAA,BLR,23-03-2023,866,Boeing 737,250,228,899566.67,614818.04,284748.63,91.2,Domestic,2023-03
52,DEL-FRA,DEL,FRA,29-06-2023,372,Airbus A320,150,69,1579889.33,1180109.66,399779.67,46,International,2023-06
53,BOM-CCU,BOM,CCU,23-05-2023,419,ATR 72,250,202,791555.2,592629.4,198925.8,80.8,Domestic,2023-05
54,BOM-DEL,BOM,DEL,01-03-2023,327,Airbus A320,350,336,966954.06,594716.9,372237.16,96,Domestic,2023-03
55,BOM-BKK,BOM,BKK,26-06-2023,806,Boeing 777,250,192,5312898.41,4149996.65,1162901.76,76.8,International,2023-06
56,BOM-NRT,BOM,NRT,08-04-2023,320,Boeing 737,250,112,3794966.28,3313275.76,481690.52,44.8,International,2023-04
57,CCU-DEL,CCU,DEL,06-07-2023,501,Boeing 737,180,140,503173.64,314370.41,188803.23,77.77777778,Domestic,2023-07
58,DEL-AMD,DEL,AMD,17-09-2023,376,Airbus A380,180,119,348929.34,218559.81,130369.53,66.11111111,Domestic,2023-09
59,BOM-BKK,BOM,BKK,07-12-2023,448,Airbus A320,350,263,6861966.54,7206678.13,-344711.59,75.14285714,International,2023-12
60,DEL-AMD,DEL,AMD,27-05-2023,275,Airbus A380,350,270,804613.13,655817.32,148795.81,77.14285714,Domestic,2023-05
61,CCU-DEL,CCU,DEL,19-09-2023,544,Airbus A320,120,72,258835.46,238531.5,20303.96,60,Domestic,2023-09
62,BOM-CCU,BOM,CCU,01-05-2023,748,Boeing 777,150,131,349146.06,201711.54,147434.52,87.33333333,Domestic,2023-05
63,CCU-KUL,CCU,KUL,09-11-2023,846,Boeing 737,250,167,4917562.28,3278347.69,1639214.59,66.8,International,2023-11
64,BLR-SIN,BLR,SIN,11-09-2023,469,Airbus A320,150,119,2389897.5,2391280.5,-1383,79.33333333,International,2023-09
65,BLR-HYD,BLR,HYD,06-08-2023,284,Airbus A320,350,243,827009.29,910108.84,-83099.55,69.42857143,Domestic,2023-08
66,BLR-HYD,BLR,HYD,22-08-2023,196,Airbus A380,350,340,1180416.82,1322094.89,-141678.07,97.14285714,Domestic,2023-08
67,DEL-FRA,DEL,FRA,10-11-2023,894,ATR 72,250,222,6264413.6,6817717.07,-553303.47,88.8,International,2023-11
68,CCU-KUL,CCU,KUL,19-08-2023,325,Airbus A320,180,154,4284202.57,3967381.77,316820.8,85.55555556,International,2023-08
69,MAA-BLR,MAA,BLR,14-08-2023,139,Boeing 777,150,89,264817.47,231474.66,33342.81,59.33333333,Domestic,2023-08
70,DEL-MAA,DEL,MAA,19-03-2023,296,Airbus A380,150,123,309420.27,245852.85,63567.42,82,Domestic,2023-03
71,MAA-CMB,MAA,CMB,27-08-2023,485,Boeing 737,150,133,3437006.24,3477829.16,-40822.92,88.66666667,International,2023-08
72,BOM-DEL,BOM,DEL,22-10-2023,449,Airbus A380,120,113,331937.81,260236.58,71701.23,94.16666667,Domestic,2023-10
73,BOM-BKK,BOM,BKK,03-10-2023,825,ATR 72,350,324,8852795.26,6318781.65,2534013.61,92.57142857,International,2023-10
74,CCU-KUL,CCU,KUL,15-01-2023,458,Boeing 777,250,208,6782377.67,7472314.85,-689937.18,83.2,International,2023-01
75,DEL-CDG,DEL,CDG,01-10-2023,87,Airbus A380,350,262,5346511.04,5002461.93,344049.11,74.85714286,International,2023-10
76,DEL-MAA,DEL,MAA,25-08-2023,246,Boeing 737,180,117,325375.66,242765.21,82610.45,65,Domestic,2023-08
77,BLR-SIN,BLR,SIN,23-05-2023,830,Airbus A380,180,160,4328736.41,4326202.18,2534.23,88.88888889,International,2023-05
78,DEL-BLR,DEL,BLR,29-06-2023,289,Boeing 737,120,101,415039.41,277917.2,137122.21,84.16666667,Domestic,2023-06
79,BOM-DEL,BOM,DEL,15-11-2023,216,Airbus A320,150,105,273619.61,306085.73,-32466.12,70,Domestic,2023-11
80,DEL-FRA,DEL,FRA,25-12-2023,322,Boeing 777,150,115,3962442.43,3887212.83,75229.6,76.66666667,International,2023-12
81,BOM-GOI,BOM,GOI,09-06-2023,170,ATR 72,120,113,388317.05,425135.6,-36818.55,94.16666667,Domestic,2023-06
82,BLR-SIN,BLR,SIN,23-07-2023,792,Airbus A320,120,91,2953730.28,2054938.6,898791.68,75.83333333,International,2023-07
83,DEL-AMD,DEL,AMD,17-12-2023,674,Boeing 737,350,302,913539.97,737251.25,176288.72,86.28571429,Domestic,2023-12
84,DEL-LHR,DEL,LHR,05-02-2023,578,Boeing 777,120,108,3492176.09,2141833.04,1350343.05,90,International,2023-02
85,DEL-LHR,DEL,LHR,22-11-2023,530,Airbus A320,250,135,3756537.16,3532175.91,224361.25,54,International,2023-11
86,DEL-CDG,DEL,CDG,03-10-2023,853,Airbus A380,250,170,5264116.85,3742983.55,1521133.3,68,International,2023-10
87,HYD-BOM,HYD,BOM,14-02-2023,345,Airbus A380,150,127,435067.63,413711.5,21356.13,84.66666667,Domestic,2023-02
88,BOM-DXB,BOM,DXB,15-01-2023,566,Boeing 777,150,106,2684171.7,1892371.77,791799.93,70.66666667,International,2023-01
89,MAA-BLR,MAA,BLR,02-11-2023,778,Boeing 777,350,159,652935.51,392654.38,260281.13,45.42857143,Domestic,2023-11
90,BOM-BKK,BOM,BKK,08-09-2023,628,Airbus A320,250,198,5417739.37,5557298.82,-139559.45,79.2,International,2023-09
91,BOM-CCU,BOM,CCU,31-05-2023,286,Airbus A380,150,91,313658.8,261577.73,52081.07,60.66666667,Domestic,2023-05
92,HYD-DXB,HYD,DXB,26-06-2023,495,ATR 72,180,114,3055904.4,2242953.75,812950.65,63.33333333,International,2023-06
93,HYD-BOM,HYD,BOM,03-03-2023,798,Airbus A320,180,92,309539.07,311802.97,-2263.9,51.11111111,Domestic,2023-03
94,BOM-GOI,BOM,GOI,09-04-2023,281,Airbus A380,180,150,623683.9,539350.69,84333.21,83.33333333,Domestic,2023-04
95,DEL-AMD,DEL,AMD,21-02-2023,258,Boeing 777,150,96,282631.84,275512.65,7119.19,64,Domestic,2023-02
96,DEL-MAA,DEL,MAA,21-05-2023,106,Boeing 737,350,211,864965.24,806771.93,58193.31,60.28571429,Domestic,2023-05
