RouteCode,AvgRevenue,AvgCost,AvgProfit
DEL-LHR,4046901.62,3356893.99,690007.63
BLR-SIN,4157483.78,3476697.61,680786.17
BOM-BKK,4465610.46,3787004.07,678606.39
BOM-NRT,4205482.35,3569569.71,635912.64
CCU-KUL,3940826.26,3324077.55,616748.71
BOM-DXB,4360612.15,3744327.29,616284.86
HYD-DXB,4245042.5,3638333.54,606708.96
DEL-CDG,4319132.73,3717541.49,601591.23
DEL-FRA,4119533.32,3538970.48,580562.85
MAA-CMB,4060554.67,3507311.1,553243.57
MAA-BLR,514015.35,431015.47,82999.87
DEL-BLR,486684.12,406057.05,80627.07
BOM-CCU,505053.4,427055.37,77998.04
DEL-MAA,506825.82,429139.34,77686.48
DEL-AMD,516471.27,441686.26,74785.01
BLR-HYD,491397.68,420900.46,70497.21
HYD-BOM,491163.28,421483.66,69679.62
BOM-DEL,485687.57,419812.87,65874.7
BOM-GOI,483415.51,419055.04,64360.48
CCU-DEL,487320.26,423044.29,64275.97
