RouteCode,AvgDurationMins,AvgRevenue,RevenuePerMin,RevenuePerMinRank
BOM-BKK,445,4465610.46,10033.99,1
DEL-CDG,452.5,4319132.73,9546.04,2
BOM-NRT,471.3,4205482.35,8922.52,3
BOM-DXB,498.2,4360612.15,8752.9,4
HYD-DXB,488.7,4245042.5,8686.77,5
MAA-CMB,470.4,4060554.67,8632.03,6
BLR-SIN,487.9,4157483.78,8521.98,7
CCU-KUL,469.3,3940826.26,8397.65,8
DEL-LHR,482.4,4046901.62,8388.94,9
DEL-FRA,497.5,4119533.32,8280.18,10
DEL-AMD,467.8,516471.27,1104.12,11
DEL-MAA,474.5,506825.82,1068.2,12
BOM-CCU,488.6,505053.4,1033.75,13
MAA-BLR,501,514015.35,1025.93,14
CCU-DEL,477.7,487320.26,1020.06,15
DEL-BLR,478.5,486684.12,1017,16
BOM-DEL,485.3,485687.57,1000.79,17
BOM-GOI,486.7,483415.51,993.29,18
HYD-BOM,498.9,491163.28,984.56,19
BLR-HYD,509,491397.68,965.44,20
